taxa,Env,DON_ppm,Vibe,Manual,Visual,NIR
GA12505B14.18LE23F,WLA20,NA,11.01,11.4,10,66
GA12505B14.18LE23F,WLA20,NA,7.3,9.118236473,10,66
GA131246LDH.18E35,FSC19,42.88,48.68,21.1,35,71
GA131246LDH.18E35,FSC19,35.92,41.76,24.2,35,49
GA131246LDH.18E35,FSC20,NA,NA,9.5,10,34
GA131246LDH.18E35,FSC20,NA,NA,NA,5,26
GA131246LDH.18E35,WLA20,NA,7.25,7.292707293,1,53
GA131246LDH.18E35,WLA20,NA,4.43,7.823470411,1,52
GA141077.G5.18ESC27F,FSC19,27,38.21,12.3,35,77
GA141077.G5.18ESC27F,FSC19,23.84,25.81,16.8,30,49
GA14436LDH.18LE25,FSC19,28.44,25.8,12.9,20,74
GA14436LDH.18LE25,FSC19,11.24,16.09,7.3,15,41
GA14436LDH.18LE25,FSC20,NA,NA,NA,15,36
GA14436LDH.18LE25,WLA20,NA,12.69,19.8388721,10,56
GA14436LDH.18LE25,WLA20,NA,8.78,11.02204409,15,59
GA14436LDH.18LE26F,FSC19,63.68,58.9,75.3,60,88
GA14436LDH.18LE26F,FSC19,45.64,51.72,16.5,35,80
